category,title,viewCount,likeCount,dislikeCount,commentCount
Entertainment,WE MADE IT!!,1454174,78572,572,10871
Entertainment,THE SUBSTITUTE TEACHER EXPERIMENT!,2712496,133693,16506,9627
Entertainment,Teens React to Fuller House,2851335,53896,251527,21648
Entertainment,HUGE SURPRISE!!,463538,36952,488,4795
Entertainment,What happened in January?,393709,20856,1273,1461
Entertainment,WINTER IS COMING (Bonus),252811,10806,74,571
Entertainment,Bad Nanny,600307,18078,1051,645
Entertainment,PRANK ON MY MUM!,1692506,110594,728,7774
Entertainment,@FINE BROS SUB COUNT RIP LIVE !!! ROAD TO 13 MILLION !,1364050,37008,1255,1212
Entertainment,Rob Kardashian Swipes at Sisters!,89032,1225,118,119
Entertainment,Kid Pranks Dad: POOP UNDERWEAR PRANK!!!,153159,7467,174,465
Entertainment,Best Carry-on Suitcase Ever? Ft. David So,223677,6805,103,449
Entertainment,How To Run For President!,3138594,189401,1946,20708
Entertainment,Angry Illegal Tenant Prank #2 - Ownage Pranks,428922,22876,500,1861
Entertainment,PICKLEBOY POOPS HIS PANTS!!,311207,11072,642,3278
Entertainment,Vic Sotto and Pauleen Luna's Wedding,1438398,7377,172,288
Entertainment,FACE SWAPPING YOUTUBERS *PRANK*!,437398,20980,2191,1922
Entertainment,The Fine Bros Update Damage Control Rant - You Done Fuck Up,228168,19249,297,5174
Entertainment,Top 10 Scandalous Celebrity DUIs,196606,2407,87,435
Entertainment,THE WAKEUP SURPRISE PRANK!,557255,26272,578,5140
Entertainment,GREASE: LIVE | "Greased Lightning" | FOX BROADCASTING,390555,3416,70,222
Entertainment,FRANCIS GETS PRANKED (GONE WRONG) (GONE SEXUAL) KILLING MY BEST FRIEND (IN THE HOOD),262138,22121,991,2896
Entertainment,《欢乐喜剧人II》第3期20160131: 岳云鹏热唱五环之歌唱哭自己 小沈阳变“老神头儿” 逗笑众人 Top Funny Comedian EP.3【东方卫视官方超清】,157596,181,19,283
Entertainment,MY ONLINE BOYFRIEND IS BACK,65331,4820,94,730
Entertainment,Try not to laugh challenge Reaction & Thoughts #JCTG,315991,11766,926,1147
Entertainment,Thách Thức Danh Hài mùa 2 | GALA 3 FULL HD: Trấn Thành- Việt Hương òa khóc trao 150 triệu,2885968,6226,846,1021
Entertainment,I REACT To: The Fine Bros. Being Dumbasses,293900,11973,415,2263
Entertainment,FULL BODY PIE PRANK!! ( Funny Pranks & Videos w/ TheCampingRusher ),79461,4166,56,479
